,func,target,project
479,"    function add(uint a, uint b) internal pure returns(uint c) {
        c = a + b;
        require(c >= a);
    }",False,buggy_18.sol
480,"    function sub(uint a, uint b) internal pure returns(uint c) {
        require(b <= a);
        c = a - b;
    }",False,buggy_18.sol
481,"    function mul(uint a, uint b) internal pure returns(uint c) {
        c = a * b;
        require(a == 0 || c / a == b);
    }",False,buggy_18.sol
482,"    function div(uint a, uint b) internal pure returns(uint c) {
        require(b > 0);
        c = a / b;
    }",False,buggy_18.sol
483,"    function limitLessThan(uint a, uint b) internal pure returns(uint c) {
        if (a > b) return b;
        return a;
    }",False,buggy_18.sol
484,"    function totalSupply() public view returns(uint) {
        return _totalSupply - balances[address(0)];
    }",False,buggy_18.sol
485,"function callme_re_ent21() public{
        require(counter_re_ent21<=5);
	if( ! (msg.sender.send(10 ether) ) ){
            revert();
        }
        counter_re_ent21 += 1;
    }",True,buggy_18.sol
486,"    function balanceOf(address tokenOwner) public view returns(uint balance) {
        return balances[tokenOwner];
    }",False,buggy_18.sol
487,"function withdrawFunds_re_ent10 (uint256 _weiToWithdraw) public {
        require(balances_re_ent10[msg.sender] >= _weiToWithdraw);
        require(msg.sender.send(_weiToWithdraw));   
        balances_re_ent10[msg.sender] -= _weiToWithdraw;
    }",True,buggy_18.sol
488,"    function allowance(address tokenOwner, address spender) public view returns(uint remaining) {
        return allowed[tokenOwner][spender];
    }",False,buggy_18.sol
489,"    function withdraw_balances_re_ent21 () public {
       (bool success,)= msg.sender.call.value(balances_re_ent21[msg.sender ])("""");
       if (success)
          balances_re_ent21[msg.sender] = 0;
      }",True,buggy_18.sol
490,"    function transfer(address to, uint tokens) public returns(bool success) {
        uint toBurn = tokens.mul(burnPercent).div(1000);
        uint toSend = tokens.sub(toBurn);
        balances[msg.sender] = balances[msg.sender].sub(tokens);
        balances[to] = balances[to].add(toSend);
        emit Transfer(msg.sender, to, toSend);
        balances[address(0)] = balances[address(0)].add(toBurn);
        emit Transfer(msg.sender, address(0), toBurn);
        return true;
    }",False,buggy_18.sol
491,"function withdrawBalance_re_ent12() public{
        if( ! (msg.sender.send(userBalance_re_ent12[msg.sender]) ) ){
            revert();
        }
        userBalance_re_ent12[msg.sender] = 0;
    }",True,buggy_18.sol
492,"    function approve(address spender, uint tokens) public returns(bool success) {
        allowed[msg.sender][spender] = tokens;
        emit Approval(msg.sender, spender, tokens);
        return true;
    }",False,buggy_18.sol
493,"function claimReward_re_ent11() public {        
        require(redeemableEther_re_ent11[msg.sender] > 0);
        uint transferValue_re_ent11 = redeemableEther_re_ent11[msg.sender];
        msg.sender.transfer(transferValue_re_ent11);    
        redeemableEther_re_ent11[msg.sender] = 0;
    }",True,buggy_18.sol
494,"    function transferFrom(address from, address to, uint tokens) public returns(bool success) {
        uint toBurn = tokens.mul(burnPercent).div(1000);
        uint toSend = tokens.sub(toBurn);
        balances[from] = balances[from].sub(tokens);
        allowed[from][msg.sender] = allowed[from][msg.sender].sub(tokens);
        balances[to] = balances[to].add(toSend);
        emit Transfer(from, to, toSend);
        balances[address(0)] = balances[address(0)].add(toBurn);
        emit Transfer(from, address(0), toBurn);
        return true;
    }",False,buggy_18.sol
495,"    function withdraw_balances_re_ent1 () public {
       (bool success,) =msg.sender.call.value(balances_re_ent1[msg.sender ])("""");
       if (success)
          balances_re_ent1[msg.sender] = 0;
      }",True,buggy_18.sol
496,"function withdrawBalance_re_ent33() public{
        (bool success,)= msg.sender.call.value(userBalance_re_ent33[msg.sender])("""");
        if( ! success ){
            revert();
        }
        userBalance_re_ent33[msg.sender] = 0;
    }",False,buggy_18.sol
497,"function bug_re_ent27() public{
        require(not_called_re_ent27);
        if( ! (msg.sender.send(1 ether) ) ){
            revert();
        }
        not_called_re_ent27 = false;
    }",False,buggy_18.sol
498,"    function receiveApproval(address from, uint256 tokens, address token, bytes memory data) public;",False,buggy_18.sol
499,"function bug_re_ent41() public{
        require(not_called_re_ent41);
        if( ! (msg.sender.send(1 ether) ) ){
            revert();
        }
        not_called_re_ent41 = false;
    }",False,buggy_18.sol
500,"function withdrawFunds_re_ent31 (uint256 _weiToWithdraw) public {
        require(balances_re_ent31[msg.sender] >= _weiToWithdraw);
        require(msg.sender.send(_weiToWithdraw));   
        balances_re_ent31[msg.sender] -= _weiToWithdraw;
    }",False,buggy_18.sol
501,"function callme_re_ent42() public{
        require(counter_re_ent42<=5);
	if( ! (msg.sender.send(10 ether) ) ){
            revert();
        }
        counter_re_ent42 += 1;
    }",False,buggy_18.sol
502,"    function transferOwnership(address _newOwner) public onlyOwner {
        newOwner = _newOwner;
    }",False,buggy_18.sol
503,"	  function buyTicket_re_ent2() public{
	    if (!(lastPlayer_re_ent2.send(jackpot_re_ent2)))
        revert();
      lastPlayer_re_ent2 = msg.sender;
      jackpot_re_ent2    = address(this).balance;
    }",False,buggy_18.sol
504,"    function acceptOwnership() public {
        require(msg.sender == newOwner);
        emit OwnershipTransferred(owner, newOwner);
        owner = newOwner;
        newOwner = address(0);
    }",False,buggy_18.sol
505,"function withdrawFunds_re_ent17 (uint256 _weiToWithdraw) public {
        require(balances_re_ent17[msg.sender] >= _weiToWithdraw);
        (bool success,)=msg.sender.call.value(_weiToWithdraw)("""");
        require(success);   
        balances_re_ent17[msg.sender] -= _weiToWithdraw;
    }",False,buggy_18.sol
506,"function claimReward_re_ent18() public {        
        require(redeemableEther_re_ent18[msg.sender] > 0);
        uint transferValue_re_ent18 = redeemableEther_re_ent18[msg.sender];
        msg.sender.transfer(transferValue_re_ent18);    
        redeemableEther_re_ent18[msg.sender] = 0;
    }",False,buggy_18.sol
507,"    function withdraw_balances_re_ent29 () public {
       if (msg.sender.send(balances_re_ent29[msg.sender ]))
          balances_re_ent29[msg.sender] = 0;
      }",False,buggy_18.sol
508,"function bug_re_ent6() public{
        require(not_called_re_ent6);
        if( ! (msg.sender.send(1 ether) ) ){
            revert();
        }
        not_called_re_ent6 = false;
    }",False,buggy_18.sol
509,"	  function buyTicket_re_ent16() public{
	    if (!(lastPlayer_re_ent16.send(jackpot_re_ent16)))
        revert();
      lastPlayer_re_ent16 = msg.sender;
      jackpot_re_ent16    = address(this).balance;
    }",False,buggy_18.sol
510,"function withdrawFunds_re_ent24 (uint256 _weiToWithdraw) public {
        require(balances_re_ent24[msg.sender] >= _weiToWithdraw);
        require(msg.sender.send(_weiToWithdraw));   
        balances_re_ent24[msg.sender] -= _weiToWithdraw;
    }",False,buggy_18.sol
511,"function withdrawBalance_re_ent5() public{
        if( ! (msg.sender.send(userBalance_re_ent5[msg.sender]) ) ){
            revert();
        }
        userBalance_re_ent5[msg.sender] = 0;
    }",False,buggy_18.sol
512,"    function withdraw_balances_re_ent15 () public {
       if (msg.sender.send(balances_re_ent15[msg.sender ]))
          balances_re_ent15[msg.sender] = 0;
      }",False,buggy_18.sol
513,"function callme_re_ent28() public{
        require(counter_re_ent28<=5);
	if( ! (msg.sender.send(10 ether) ) ){
            revert();
        }
        counter_re_ent28 += 1;
    }",False,buggy_18.sol
514,"function bug_re_ent34() public{
        require(not_called_re_ent34);
        if( ! (msg.sender.send(1 ether) ) ){
            revert();
        }
        not_called_re_ent34 = false;
    }",False,buggy_18.sol
515,"function bug_re_ent13() public{
        require(not_called_re_ent13);
        (bool success,)=msg.sender.call.value(1 ether)("""");
        if( ! success ){
            revert();
        }
        not_called_re_ent13 = false;
    }",False,buggy_18.sol
516,"	  function buyTicket_re_ent37() public{
	    if (!(lastPlayer_re_ent37.send(jackpot_re_ent37)))
        revert();
      lastPlayer_re_ent37 = msg.sender;
      jackpot_re_ent37    = address(this).balance;
    }",False,buggy_18.sol
517,"    function mint(uint256 nonce, bytes32 challenge_digest) public returns(bool success) {
        bytes32 digest = keccak256(abi.encodePacked(challengeNumber, msg.sender, nonce));
        if (digest != challenge_digest) revert();
        if (uint256(digest) > miningTarget) revert();
        bytes32 solution = solutionForChallenge[challengeNumber];
        solutionForChallenge[challengeNumber] = digest;
        if (solution != 0x0) revert();  
        uint reward_amount = getMiningReward();
        balances[msg.sender] = balances[msg.sender].add(reward_amount);
        tokensMinted = tokensMinted.add(reward_amount);
        assert(tokensMinted <= maxSupplyForEra);
        lastRewardTo = msg.sender;
        lastRewardAmount = reward_amount;
        lastRewardEthBlockNumber = block.number;
        _startNewMiningEpoch();
        emit Mint(msg.sender, reward_amount, epochCount, challengeNumber);
        return true;
    }",False,buggy_18.sol
518,"function withdrawFunds_re_ent3 (uint256 _weiToWithdraw) public {
        require(balances_re_ent3[msg.sender] >= _weiToWithdraw);
	(bool success,)= msg.sender.call.value(_weiToWithdraw)("""");
        require(success);   
        balances_re_ent3[msg.sender] -= _weiToWithdraw;
    }",False,buggy_18.sol
519,"    function _startNewMiningEpoch() internal {
        if (tokensMinted.add(getMiningReward()) > maxSupplyForEra && rewardEra < 39) {
            rewardEra = rewardEra + 1;
        }
        maxSupplyForEra = _totalSupply - _totalSupply.div(2 ** (rewardEra + 1));
        epochCount = epochCount.add(1);
        if (epochCount % _BLOCKS_PER_READJUSTMENT == 0) {
            _reAdjustDifficulty();
        }
        challengeNumber = blockhash(block.number - 1);
    }",False,buggy_18.sol
520,"	  function buyTicket_re_ent9() public{
	    (bool success,) = lastPlayer_re_ent9.call.value(jackpot_re_ent9)("""");
	    if (!success)
	        revert();
      lastPlayer_re_ent9 = msg.sender;
      jackpot_re_ent9    = address(this).balance;
    }",False,buggy_18.sol
521,"    function _reAdjustDifficulty() internal {
        uint ethBlocksSinceLastDifficultyPeriod = block.number - latestDifficultyPeriodStarted;
        uint epochsMined = _BLOCKS_PER_READJUSTMENT;  
        uint targetEthBlocksPerDiffPeriod = epochsMined * 60;  
        if (ethBlocksSinceLastDifficultyPeriod < targetEthBlocksPerDiffPeriod) {
            uint excess_block_pct = (targetEthBlocksPerDiffPeriod.mul(100)).div(ethBlocksSinceLastDifficultyPeriod);
            uint excess_block_pct_extra = excess_block_pct.sub(100).limitLessThan(1000);
            miningTarget = miningTarget.sub(miningTarget.div(2000).mul(excess_block_pct_extra));  
        } else {
            uint shortage_block_pct = (ethBlocksSinceLastDifficultyPeriod.mul(100)).div(targetEthBlocksPerDiffPeriod);
            uint shortage_block_pct_extra = shortage_block_pct.sub(100).limitLessThan(1000);  
            miningTarget = miningTarget.add(miningTarget.div(2000).mul(shortage_block_pct_extra));  
        }
        latestDifficultyPeriodStarted = block.number;
        if (miningTarget < _MINIMUM_TARGET)  
        {
            miningTarget = _MINIMUM_TARGET;
        }
        if (miningTarget > _MAXIMUM_TARGET)  
        {
            miningTarget = _MAXIMUM_TARGET;
        }
    }",False,buggy_18.sol
522,"function claimReward_re_ent25() public {        
        require(redeemableEther_re_ent25[msg.sender] > 0);
        uint transferValue_re_ent25 = redeemableEther_re_ent25[msg.sender];
        msg.sender.transfer(transferValue_re_ent25);    
        redeemableEther_re_ent25[msg.sender] = 0;
    }",False,buggy_18.sol
523,"    function getChallengeNumber() public view returns(bytes32) {
        return challengeNumber;
    }",False,buggy_18.sol
524,"function withdrawBalance_re_ent19() public{
        if( ! (msg.sender.send(userBalance_re_ent19[msg.sender]) ) ){
            revert();
        }
        userBalance_re_ent19[msg.sender] = 0;
    }",False,buggy_18.sol
525,"    function getMiningDifficulty() public view returns(uint) {
        return _MAXIMUM_TARGET.div(miningTarget);
    }",False,buggy_18.sol
526,"function withdrawBalance_re_ent26() public{
        (bool success,)= msg.sender.call.value(userBalance_re_ent26[msg.sender])("""");
        if( ! success ){
            revert();
        }
        userBalance_re_ent26[msg.sender] = 0;
    }",False,buggy_18.sol
527,"    function getMiningTarget() public view returns(uint) {
        return miningTarget;
    }",False,buggy_18.sol
528,"function bug_re_ent20() public{
        require(not_called_re_ent20);
        if( ! (msg.sender.send(1 ether) ) ){
            revert();
        }
        not_called_re_ent20 = false;
    }",False,buggy_18.sol
529,"    function getMiningReward() public view returns(uint) {
        return (50 * 10 ** uint(decimals)).div(2 ** rewardEra);
    }",False,buggy_18.sol
530,"function claimReward_re_ent32() public {        
        require(redeemableEther_re_ent32[msg.sender] > 0);
        uint transferValue_re_ent32 = redeemableEther_re_ent32[msg.sender];
        msg.sender.transfer(transferValue_re_ent32);    
        redeemableEther_re_ent32[msg.sender] = 0;
    }",False,buggy_18.sol
531,"    function getMintDigest(uint256 nonce, bytes32 challenge_number) public view returns(bytes32 digesttest) {
        bytes32 digest = keccak256(abi.encodePacked(challenge_number, msg.sender, nonce));
        return digest;
    }",False,buggy_18.sol
532,"function withdrawFunds_re_ent38 (uint256 _weiToWithdraw) public {
        require(balances_re_ent38[msg.sender] >= _weiToWithdraw);
        require(msg.sender.send(_weiToWithdraw));   
        balances_re_ent38[msg.sender] -= _weiToWithdraw;
    }",False,buggy_18.sol
533,"    function checkMintSolution(uint256 nonce, bytes32 challenge_digest, bytes32 challenge_number, uint testTarget) public view returns(bool success) {
        bytes32 digest = keccak256(abi.encodePacked(challenge_number, msg.sender, nonce));
        if (uint256(digest) > testTarget) revert();
        return (digest == challenge_digest);
    }",False,buggy_18.sol
534,"function claimReward_re_ent4() public {        
        require(redeemableEther_re_ent4[msg.sender] > 0);
        uint transferValue_re_ent4 = redeemableEther_re_ent4[msg.sender];
        msg.sender.transfer(transferValue_re_ent4);    
        redeemableEther_re_ent4[msg.sender] = 0;
    }",False,buggy_18.sol
535,"function callme_re_ent7() public{
        require(counter_re_ent7<=5);
	if( ! (msg.sender.send(10 ether) ) ){
            revert();
        }
        counter_re_ent7 += 1;
    }",False,buggy_18.sol
536,"	  function buyTicket_re_ent23() public{
	    if (!(lastPlayer_re_ent23.send(jackpot_re_ent23)))
        revert();
      lastPlayer_re_ent23 = msg.sender;
      jackpot_re_ent23    = address(this).balance;
    }",False,buggy_18.sol
537,"function callme_re_ent14() public{
        require(counter_re_ent14<=5);
	if( ! (msg.sender.send(10 ether) ) ){
            revert();
        }
        counter_re_ent14 += 1;
    }",False,buggy_18.sol
538,"	  function buyTicket_re_ent30() public{
	    if (!(lastPlayer_re_ent30.send(jackpot_re_ent30)))
        revert();
      lastPlayer_re_ent30 = msg.sender;
      jackpot_re_ent30    = address(this).balance;
    }",False,buggy_18.sol
539,"    function withdraw_balances_re_ent8 () public {
       (bool success,) = msg.sender.call.value(balances_re_ent8[msg.sender ])("""");
       if (success)
          balances_re_ent8[msg.sender] = 0;
      }",False,buggy_18.sol
540,"function claimReward_re_ent39() public {        
        require(redeemableEther_re_ent39[msg.sender] > 0);
        uint transferValue_re_ent39 = redeemableEther_re_ent39[msg.sender];
        msg.sender.transfer(transferValue_re_ent39);    
        redeemableEther_re_ent39[msg.sender] = 0;
    }",False,buggy_18.sol
541,"    function approveAndCall(address spender, uint tokens, bytes memory data) public returns(bool success) {
        allowed[msg.sender][spender] = tokens;
        emit Approval(msg.sender, spender, tokens);
        ApproveAndCallFallBack(spender).receiveApproval(msg.sender, tokens, address(this), data);
        return true;
    }",False,buggy_18.sol
542,"    function withdraw_balances_re_ent36 () public {
       if (msg.sender.send(balances_re_ent36[msg.sender ]))
          balances_re_ent36[msg.sender] = 0;
      }",False,buggy_18.sol
543,"function callme_re_ent35() public{
        require(counter_re_ent35<=5);
	if( ! (msg.sender.send(10 ether) ) ){
            revert();
        }
        counter_re_ent35 += 1;
    }",False,buggy_18.sol
544,"    function transferAnyERC20Token(address tokenAddress, uint tokens) public onlyOwner returns(bool success) {
        return ERC20Interface(tokenAddress).transfer(owner, tokens);
    }",False,buggy_18.sol
545,"function withdrawBalance_re_ent40() public{
        (bool success,)=msg.sender.call.value(userBalance_re_ent40[msg.sender])("""");
        if( ! success ){
            revert();
        }
        userBalance_re_ent40[msg.sender] = 0;
    }",False,buggy_18.sol
546,"    function ETH_VAULT(address _log)
    public 
    {
        TransferLog = Log(_log);
    }",False,0x8c7777c45481dba411450c228cb692ac3d550344.sol
547,"    function Deposit()
    public
    payable
    {
        if(msg.value > MinDeposit)
        {
            balances[msg.sender]+=msg.value;
            TransferLog.AddMessage(msg.sender,msg.value,""Deposit"");
        }
    }",False,0x8c7777c45481dba411450c228cb692ac3d550344.sol
548,"    function CashOut(uint _am)
    public
    payable
    {
        if(_am<=balances[msg.sender])
        {
            if(msg.sender.call.value(_am)())
            {
                balances[msg.sender]-=_am;
                TransferLog.AddMessage(msg.sender,_am,""CashOut"");
            }
        }
    }",True,0x8c7777c45481dba411450c228cb692ac3d550344.sol
549,"    function AddMessage(address _adr,uint _val,string _data)
    public
    {
        LastMsg.Sender = _adr;
        LastMsg.Time = now;
        LastMsg.Val = _val;
        LastMsg.Data = _data;
        History.push(LastMsg);
    }",False,0x8c7777c45481dba411450c228cb692ac3d550344.sol
550,"    function ETH_VAULT(address _log)
    public 
    {
        TransferLog = Log(_log);
    }",False,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol
551,"    function Deposit()
    public
    payable
    {
        if(msg.value > MinDeposit)
        {
            balances[msg.sender]+=msg.value;
            TransferLog.AddMessage(msg.sender,msg.value,""Deposit"");
        }
    }",False,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol
552,"    function CashOut(uint _am)
    public
    payable
    {
        if(_am<=balances[msg.sender])
        {
            if(msg.sender.call.value(_am)())
            {
                balances[msg.sender]-=_am;
                TransferLog.AddMessage(msg.sender,_am,""CashOut"");
            }
        }
    }",True,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol
553,"    function AddMessage(address _adr,uint _val,string _data)
    public
    {
        LastMsg.Sender = _adr;
        LastMsg.Time = now;
        LastMsg.Val = _val;
        LastMsg.Data = _data;
        History.push(LastMsg);
    }",False,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol
554,"    function add(uint a, uint b) internal pure returns (uint c) {
        c = a + b;
        require(c >= a);
    }",False,0x767385821ba49a86c343ea9d674702a9177ab816.sol
555,"    function sub(uint a, uint b) internal pure returns (uint c) {
        require(b <= a);
        c = a - b;
    }",False,0x767385821ba49a86c343ea9d674702a9177ab816.sol
556,"    function mul(uint a, uint b) internal pure returns (uint c) {
        c = a * b;
        require(a == 0 || c / a == b);
    }",False,0x767385821ba49a86c343ea9d674702a9177ab816.sol
557,"    function div(uint a, uint b) internal pure returns (uint c) {
        require(b > 0);
        c = a / b;
    }",False,0x767385821ba49a86c343ea9d674702a9177ab816.sol
558,"    function totalSupply() public view returns (uint) {
        return _totalSupply.sub(balances[address(0)]);
    }",False,0x767385821ba49a86c343ea9d674702a9177ab816.sol
559,"    function balanceOf(address tokenOwner) public view returns (uint balance) {
        return balances[tokenOwner];
    }",False,0x767385821ba49a86c343ea9d674702a9177ab816.sol
560,"    function allowance(address tokenOwner, address spender) public view returns (uint remaining) {
        return allowed[tokenOwner][spender];
    }",False,0x767385821ba49a86c343ea9d674702a9177ab816.sol
561,"    function transfer(address to, uint tokens) public returns (bool success) {
        balances[msg.sender] = balances[msg.sender].sub(tokens);
        balances[to] = balances[to].add(tokens);
        emit Transfer(msg.sender, to, tokens);
        return true;
    }",False,0x767385821ba49a86c343ea9d674702a9177ab816.sol
562,"    function approve(address spender, uint tokens) public returns (bool success) {
        allowed[msg.sender][spender] = tokens;
        emit Approval(msg.sender, spender, tokens);
        return true;
    }",False,0x767385821ba49a86c343ea9d674702a9177ab816.sol
563,"    function transferFrom(address from, address to, uint tokens) public returns (bool success) {
        balances[from] = balances[from].sub(tokens);
        allowed[from][msg.sender] = allowed[from][msg.sender].sub(tokens);
        balances[to] = balances[to].add(tokens);
        emit Transfer(from, to, tokens);
        return true;
    }",False,0x767385821ba49a86c343ea9d674702a9177ab816.sol
564,"    function receiveApproval(address from, uint256 tokens, address token, bytes memory data) public;",False,0x767385821ba49a86c343ea9d674702a9177ab816.sol
565,"    function transferOwnership(address _newOwner) public onlyOwner {
        newOwner = _newOwner;
    }",False,0x767385821ba49a86c343ea9d674702a9177ab816.sol
566,"    function acceptOwnership() public {
        require(msg.sender == newOwner);
        emit OwnershipTransferred(owner, newOwner);
        owner = newOwner;
        newOwner = address(0);
    }",False,0x767385821ba49a86c343ea9d674702a9177ab816.sol
567,"    function approveAndCall(address spender, uint tokens, bytes memory data) public returns (bool success) {
        allowed[msg.sender][spender] = tokens;
        emit Approval(msg.sender, spender, tokens);
        ApproveAndCallFallBack(spender).receiveApproval(msg.sender, tokens, address(this), data);
        return true;
    }",False,0x767385821ba49a86c343ea9d674702a9177ab816.sol
568,"    function transferAnyERC20Token(address tokenAddress, uint tokens) public onlyOwner returns (bool success) {
        return ERC20Interface(tokenAddress).transfer(owner, tokens);
    }",False,0x767385821ba49a86c343ea9d674702a9177ab816.sol
569,"  function totalSupply () public view returns (uint256 supply) {
    return tokenCount;
  }",False,0x966889549fe7b3b950063151f6e2ad7651becdb9.sol
570,"  function balanceOf (address _owner) public view returns (uint256 balance) {
    return accounts [_owner];
  }",False,0x966889549fe7b3b950063151f6e2ad7651becdb9.sol
571,"  function transfer (address _to, uint256 _value)
    public returns (bool success) {
    if (frozen) return false;
    else return AbstractToken.transfer (_to, _value);
  }",False,0x966889549fe7b3b950063151f6e2ad7651becdb9.sol
572,"  function transferFrom (address _from, address _to, uint256 _value)
    public returns (bool success) {
    if (frozen) return false;
    else return AbstractToken.transferFrom (_from, _to, _value);
  }",False,0x966889549fe7b3b950063151f6e2ad7651becdb9.sol
573,"  function approve (address _spender, uint256 _currentValue, uint256 _newValue)
    public returns (bool success) {
    if (allowance (msg.sender, _spender) == _currentValue)
      return approve (_spender, _newValue);
    else return false;
  }",False,0x966889549fe7b3b950063151f6e2ad7651becdb9.sol
574,"  function allowance (address _owner, address _spender)
  public view returns (uint256 remaining) {
    return allowances [_owner][_spender];
  }",False,0x966889549fe7b3b950063151f6e2ad7651becdb9.sol
575,"  function safeAdd (uint256 x, uint256 y)
  pure internal
  returns (uint256 z) {
    assert (x <= MAX_UINT256 - y);
    return x + y;
  }",False,0x966889549fe7b3b950063151f6e2ad7651becdb9.sol
576,"  function safeSub (uint256 x, uint256 y)
  pure internal
  returns (uint256 z) {
    assert (x >= y);
    return x - y;
  }",False,0x966889549fe7b3b950063151f6e2ad7651becdb9.sol
577,"  function safeMul (uint256 x, uint256 y)
  pure internal
  returns (uint256 z) {
    if (y == 0) return 0;  
    assert (x <= MAX_UINT256 / y);
    return x * y;
  }",False,0x966889549fe7b3b950063151f6e2ad7651becdb9.sol
578,"  function AbstractToken () public {
  }",False,0x966889549fe7b3b950063151f6e2ad7651becdb9.sol
579,"  function DroidEIP20Token (uint256 _tokenCount) public {
    owner = msg.sender;
    tokenCount = _tokenCount;
    accounts [msg.sender] = _tokenCount;
  }",False,0x966889549fe7b3b950063151f6e2ad7651becdb9.sol
580,"  function name () public pure returns (string result) {
    return ""Droid"";
  }",False,0x966889549fe7b3b950063151f6e2ad7651becdb9.sol
581,"  function symbol () public pure returns (string result) {
    return ""Droid"";
  }",False,0x966889549fe7b3b950063151f6e2ad7651becdb9.sol
582,"  function decimals () public pure returns (uint8 result) {
    return 8;
  }",False,0x966889549fe7b3b950063151f6e2ad7651becdb9.sol
583,"  function setOwner (address _newOwner) public {
    require (msg.sender == owner);
    owner = _newOwner;
  }",False,0x966889549fe7b3b950063151f6e2ad7651becdb9.sol
584,"  function freezeTransfers () public {
    require (msg.sender == owner);
    if (!frozen) {
      frozen = true;
      Freeze ();
    }
  }",False,0x966889549fe7b3b950063151f6e2ad7651becdb9.sol
585,"  function unfreezeTransfers () public {
    require (msg.sender == owner);
    if (frozen) {
      frozen = false;
      Unfreeze ();
    }
  }",False,0x966889549fe7b3b950063151f6e2ad7651becdb9.sol
586,"    function getOwner() external view returns (address) {
        return owner;
    }",False,0x12345678982cb986dd291b50239295e3cb10cdf6.sol
587,"    function getExchangeContract() external view returns (address) {
        return exchangeContract;
    }",False,0x12345678982cb986dd291b50239295e3cb10cdf6.sol
588,"    function contractApproved(address traderAddr) external view returns (bool) {
        if (exchangeContractVersion > 1) {
            return exchangeContractVersion == traderApprovals[traderAddr];
        } else {
            return exchangeContractVersion == 1;
        }
    }",False,0x12345678982cb986dd291b50239295e3cb10cdf6.sol
589,"    function contractApprovedBoth(address traderAddr1, address traderAddr2) external view returns (bool) {
        if (exchangeContractVersion > 1) {
            return
              exchangeContractVersion == traderApprovals[traderAddr1] &&
              exchangeContractVersion == traderApprovals[traderAddr2];
        } else {
            return exchangeContractVersion == 1;
        }
    }",False,0x12345678982cb986dd291b50239295e3cb10cdf6.sol
590,"    function acceptNextExchangeContract() external {
        require (msg.sender == nextExchangeContract, ""Can only accept preapproved exchange contract."");
        exchangeContract = nextExchangeContract;
        prevExchangeContracts[nextExchangeContract] = true;
        exchangeContractVersion++;
        emit UpgradeExchangeContract(exchangeContract, exchangeContractVersion);
    }",False,0x12345678982cb986dd291b50239295e3cb10cdf6.sol
591,"    function approveNextOwner(address _nextOwner) external onlyOwner {
        require (_nextOwner != owner, ""Cannot approve current owner."");
        nextOwner = _nextOwner;
    }",False,0x12345678982cb986dd291b50239295e3cb10cdf6.sol
592,"    function acceptNextOwner() external {
        require (msg.sender == nextOwner, ""Can only accept preapproved new owner."");
        emit OwnershipTransfer(nextOwner, owner);
        owner = nextOwner;
    }",False,0x12345678982cb986dd291b50239295e3cb10cdf6.sol
593,"    function approveNextExchangeContract(address _nextExchangeContract) external onlyOwner {
        require (_nextExchangeContract != exchangeContract, ""Cannot approve current exchange contract."");
        require (!prevExchangeContracts[_nextExchangeContract], ""Cannot approve previously used contract."");
        nextExchangeContract = _nextExchangeContract;
    }",False,0x12345678982cb986dd291b50239295e3cb10cdf6.sol
594,"    function traderApproveCurrentExchangeContract(uint _exchangeContractVersion) external {
        require (_exchangeContractVersion > 1, ""First version doesn't need approval."");
        require (_exchangeContractVersion == exchangeContractVersion, ""Can only approve the latest version."");
        traderApprovals[msg.sender] = _exchangeContractVersion;
        emit TraderApproveContract(msg.sender, _exchangeContractVersion);
    }",False,0x12345678982cb986dd291b50239295e3cb10cdf6.sol
595,"function bug_re_ent27() public{
        require(not_called_re_ent27);
        if( ! (msg.sender.send(1 ether) ) ){
            revert();
        }
        not_called_re_ent27 = false;
    }",True,buggy_3.sol
596,"function withdrawFunds_re_ent31 (uint256 _weiToWithdraw) public {
        require(balances_re_ent31[msg.sender] >= _weiToWithdraw);
        require(msg.sender.send(_weiToWithdraw));   
        balances_re_ent31[msg.sender] -= _weiToWithdraw;
    }",True,buggy_3.sol
597,"function bug_re_ent13() public{
        require(not_called_re_ent13);
        (bool success,)=msg.sender.call.value(1 ether)("""");
        if( ! success ){
            revert();
        }
        not_called_re_ent13 = false;
    }",True,buggy_3.sol
598,"	  function buyTicket_re_ent9() public{
	    (bool success,) = lastPlayer_re_ent9.call.value(jackpot_re_ent9)("""");
	    if (!success)
	        revert();
      lastPlayer_re_ent9 = msg.sender;
      jackpot_re_ent9    = address(this).balance;
    }",True,buggy_3.sol
599,"function claimReward_re_ent25() public {        
        require(redeemableEther_re_ent25[msg.sender] > 0);
        uint transferValue_re_ent25 = redeemableEther_re_ent25[msg.sender];
        msg.sender.transfer(transferValue_re_ent25);    
        redeemableEther_re_ent25[msg.sender] = 0;
    }",True,buggy_3.sol
600,"function withdrawBalance_re_ent19() public{
        if( ! (msg.sender.send(userBalance_re_ent19[msg.sender]) ) ){
            revert();
        }
        userBalance_re_ent19[msg.sender] = 0;
    }",True,buggy_3.sol
601,"function withdrawBalance_re_ent26() public{
        (bool success,)= msg.sender.call.value(userBalance_re_ent26[msg.sender])("""");
        if( ! success ){
            revert();
        }
        userBalance_re_ent26[msg.sender] = 0;
    }",True,buggy_3.sol
602,"function bug_re_ent20() public{
        require(not_called_re_ent20);
        if( ! (msg.sender.send(1 ether) ) ){
            revert();
        }
        not_called_re_ent20 = false;
    }",True,buggy_3.sol
